"major_group","mean_earnings","median_earnings","sd_earnings","min_earnings","max_earnings","mean_sat","median_sat","sd_sat"
"Business",80822.1713370697,75418,23724.3852384378,20209,198584,1175.07659460902,1154,123.434416851921
"Health",80626.0330202107,74337,28454.854763096,31295,199296,1189.06888699118,1158,140.85233075853
"Humanities",50070.5919828203,48389,12168.1100371303,18218,147998,1206.86399427344,1186,138.513028437184
"Other",65919.1579512126,60122,22362.236035597,18314,199064,1199.84347950497,1178,135.875952242665
"STEM",97670.429504304,93943,23797.9570758587,27189,199245,1245.38171564262,1229,144.53324531228
"Social Science & Public Service",61913.7996272134,59465,13505.9640316207,34763,130490,1206.8788443616,1182,150.325443751089
